delay,training steps,traffic intensity,tm
6.089,4K,112.5%,1125_32
4.24,4K,112.5%,1125_33
7.769,4K,112.5%,1125_34
4.568,4K,112.5%,1125_35
6.553,4K,112.5%,1125_36
4.874,4K,112.5%,1125_37
7.028,4K,112.5%,1125_38
6.809,4K,112.5%,1125_39
5.401,4K,112.5%,1125_40
5.229,4K,112.5%,1125_41
5.326,4K,112.5%,1125_42
5.08,4K,112.5%,1125_43
4.399,4K,112.5%,1125_44
5.608,4K,112.5%,1125_45
4.157,4K,112.5%,1125_46
5.087,4K,112.5%,1125_47
3.91,4K,112.5%,1125_48
5.213,4K,112.5%,1125_49
4.681,4K,112.5%,1125_50
7.106,4K,112.5%,1125_51
6.357,4K,112.5%,1125_52
4.132,4K,112.5%,1125_53
4.566,4K,112.5%,1125_54
15.156,4K,112.5%,1125_55
4.975,4K,112.5%,1125_56
7.227,4K,112.5%,1125_57
6.365,4K,112.5%,1125_58
5.003,4K,112.5%,1125_59
4.579,4K,112.5%,1125_60
4.597,4K,112.5%,1125_61
5.111,4K,112.5%,1125_62
5.75,4K,112.5%,1125_63
7.494,4K,112.5%,1125_64
12.031,4K,112.5%,1125_65
5.373,4K,112.5%,1125_66
5.409,4K,112.5%,1125_67
5.873,4K,112.5%,1125_68
5.384,4K,112.5%,1125_69
5.099,4K,112.5%,1125_70
6.624,4K,112.5%,1125_71
12.196,4K,112.5%,1125_72
4.609,4K,112.5%,1125_73
4.756,4K,112.5%,1125_74
4.547,4K,112.5%,1125_75
4.372,4K,112.5%,1125_76
6.533,4K,112.5%,1125_77
9.171,4K,112.5%,1125_78
4.705,4K,112.5%,1125_79
4.819,4K,112.5%,1125_80
5.423,4K,112.5%,1125_81
5.512,4K,112.5%,1125_82
4.715,4K,112.5%,1125_83
4.373,4K,112.5%,1125_84
4.398,4K,112.5%,1125_85
6.776,4K,112.5%,1125_86
5.764,4K,112.5%,1125_87
3.888,4K,112.5%,1125_88
5.814,4K,112.5%,1125_89
4.738,4K,112.5%,1125_90
4.444,4K,112.5%,1125_91
5.597,4K,112.5%,1125_92
3.691,4K,112.5%,1125_93
8.941,4K,112.5%,1125_94
6.192,4K,112.5%,1125_95
4.562,4K,112.5%,1125_96
5.326,4K,112.5%,1125_97
4.871,4K,112.5%,1125_98
6.246,4K,112.5%,1125_99
6.917,4K,125%,1250_0
5.838,4K,125%,1250_1
4.85,4K,125%,1250_2
5.581,4K,125%,1250_3
5.66,4K,125%,1250_4
4.97,4K,125%,1250_5
5.072,4K,125%,1250_6
4.955,4K,125%,1250_7
8.854,4K,125%,1250_8
5.643,4K,125%,1250_9
5.692,4K,125%,1250_10
10.391,4K,125%,1250_11
4.71,4K,125%,1250_12
4.274,4K,125%,1250_13
4.677,4K,125%,1250_14
4.461,4K,125%,1250_15
4.274,4K,125%,1250_16
5.224,4K,125%,1250_17
11.981,4K,125%,1250_18
7.864,4K,125%,1250_19
4.978,4K,125%,1250_20
3.817,4K,125%,1250_21
4.331,4K,125%,1250_22
6.691,4K,125%,1250_23
5.046,4K,125%,1250_24
4.237,4K,125%,1250_25
5.345,4K,125%,1250_26
5.818,4K,125%,1250_27
4.281,4K,125%,1250_28
4.671,4K,125%,1250_29
5.371,4K,125%,1250_30
5.809,4K,125%,1250_31
3.728,4K,125%,1250_32
5.04,4K,125%,1250_33
5.655,4K,125%,1250_34
5.436,4K,125%,1250_35
5.628,4K,125%,1250_36
5.185,4K,125%,1250_37
3.907,4K,125%,1250_38
5.037,4K,125%,1250_39
4.634,4K,125%,1250_40
6.572,4K,125%,1250_41
4.83,4K,125%,1250_42
22.11,4K,125%,1250_43
4.686,4K,125%,1250_44
4.41,4K,125%,1250_45
5.546,4K,125%,1250_46
5.712,4K,125%,1250_47
6.832,4K,125%,1250_48
5.072,4K,125%,1250_49
4.713,4K,125%,1250_50
8.347,4K,125%,1250_51
5.62,4K,125%,1250_52
4.43,4K,125%,1250_53
4.444,4K,125%,1250_54
4.246,4K,125%,1250_55
6.04,4K,125%,1250_56
4.274,4K,125%,1250_57
8.231,4K,125%,1250_58
5.503,4K,125%,1250_59
5.219,4K,125%,1250_60
5.37,4K,125%,1250_61
4.77,4K,125%,1250_62
4.361,4K,125%,1250_63
5.138,4K,125%,1250_64
3.72,4K,125%,1250_65
4.781,4K,125%,1250_66
10.34,4K,125%,1250_67
4.558,4K,125%,1250_68
7.181,4K,125%,1250_69
4.931,4K,125%,1250_70
6.94,4K,125%,1250_71
5.21,4K,125%,1250_72
7.424,4K,125%,1250_73
5.205,4K,125%,1250_74
7.625,4K,125%,1250_75
7.095,4K,125%,1250_76
4.555,4K,125%,1250_77
5.336,4K,125%,1250_78
5.845,4K,125%,1250_79
13.827,4K,125%,1250_80
5.095,4K,125%,1250_81
4.893,4K,125%,1250_82
5.312,4K,125%,1250_83
4.273,4K,125%,1250_84
6.89,4K,125%,1250_85
9.996,4K,125%,1250_86
4.703,4K,125%,1250_87
4.666,4K,125%,1250_88
4.721,4K,125%,1250_89
6.318,4K,125%,1250_90
4.96,4K,125%,1250_91
4.507,4K,125%,1250_92
6.196,4K,125%,1250_93
6.641,4K,125%,1250_94
5.568,4K,125%,1250_95
6.219,4K,125%,1250_96
4.953,4K,125%,1250_97
4.913,4K,125%,1250_98
9.886,4K,125%,1250_99
0.328,10K,12.5%,125_0
0.355,10K,12.5%,125_1
0.329,10K,12.5%,125_2
0.331,10K,12.5%,125_3
0.331,10K,12.5%,125_4
0.316,10K,12.5%,125_5
0.319,10K,12.5%,125_6
0.323,10K,12.5%,125_7
0.346,10K,12.5%,125_8
0.307,10K,12.5%,125_9
0.332,10K,12.5%,125_10
0.345,10K,12.5%,125_11
0.328,10K,12.5%,125_12
0.336,10K,12.5%,125_13
0.313,10K,12.5%,125_14
0.343,10K,12.5%,125_15
0.325,10K,12.5%,125_16
0.355,10K,12.5%,125_17
0.37,10K,12.5%,125_18
0.332,10K,12.5%,125_19
0.347,10K,12.5%,125_20
0.321,10K,12.5%,125_21
0.31,10K,12.5%,125_22
0.342,10K,12.5%,125_23
0.33,10K,12.5%,125_24
0.378,10K,12.5%,125_25
0.353,10K,12.5%,125_26
0.325,10K,12.5%,125_27
0.304,10K,12.5%,125_28
0.318,10K,12.5%,125_29
0.34,10K,12.5%,125_30
0.331,10K,12.5%,125_31
0.338,10K,12.5%,125_32
0.337,10K,12.5%,125_33
0.32,10K,12.5%,125_34
0.358,10K,12.5%,125_35
0.325,10K,12.5%,125_36
0.326,10K,12.5%,125_37
0.346,10K,12.5%,125_38
0.34,10K,12.5%,125_39
0.311,10K,12.5%,125_40
0.336,10K,12.5%,125_41
0.323,10K,12.5%,125_42
0.326,10K,12.5%,125_43
0.344,10K,12.5%,125_44
0.336,10K,12.5%,125_45
0.315,10K,12.5%,125_46
0.331,10K,12.5%,125_47
0.349,10K,12.5%,125_48
0.342,10K,12.5%,125_49
0.326,10K,12.5%,125_50
0.324,10K,12.5%,125_51
0.322,10K,12.5%,125_52
0.304,10K,12.5%,125_53
0.324,10K,12.5%,125_54
0.36,10K,12.5%,125_55
0.318,10K,12.5%,125_56
0.321,10K,12.5%,125_57
0.307,10K,12.5%,125_58
0.367,10K,12.5%,125_59
0.318,10K,12.5%,125_60
0.342,10K,12.5%,125_61
0.308,10K,12.5%,125_62
0.328,10K,12.5%,125_63
0.327,10K,12.5%,125_64
0.353,10K,12.5%,125_65
0.343,10K,12.5%,125_66
0.312,10K,12.5%,125_67
0.326,10K,12.5%,125_68
0.326,10K,12.5%,125_69
0.384,10K,12.5%,125_70
0.313,10K,12.5%,125_71
0.33,10K,12.5%,125_72
0.31,10K,12.5%,125_73
0.321,10K,12.5%,125_74
0.341,10K,12.5%,125_75
0.339,10K,12.5%,125_76
0.318,10K,12.5%,125_77
0.326,10K,12.5%,125_78
0.325,10K,12.5%,125_79
0.33,10K,12.5%,125_80
0.344,10K,12.5%,125_81
0.341,10K,12.5%,125_82
0.327,10K,12.5%,125_83
0.338,10K,12.5%,125_84
0.331,10K,12.5%,125_85
0.359,10K,12.5%,125_86
0.333,10K,12.5%,125_87
0.35,10K,12.5%,125_88
0.32,10K,12.5%,125_89
0.353,10K,12.5%,125_90
0.368,10K,12.5%,125_91
0.319,10K,12.5%,125_92
0.323,10K,12.5%,125_93
0.333,10K,12.5%,125_94
0.356,10K,12.5%,125_95
0.349,10K,12.5%,125_96
0.399,10K,12.5%,125_97
0.335,10K,12.5%,125_98
0.316,10K,12.5%,125_99
0.717,10K,25%,250_0
0.583,10K,25%,250_1
0.403,10K,25%,250_2
0.464,10K,25%,250_3
0.534,10K,25%,250_4
0.715,10K,25%,250_5
0.524,10K,25%,250_6
0.454,10K,25%,250_7
0.466,10K,25%,250_8
0.616,10K,25%,250_9
0.578,10K,25%,250_10
0.416,10K,25%,250_11
0.638,10K,25%,250_12
0.509,10K,25%,250_13
0.774,10K,25%,250_14
0.593,10K,25%,250_15
0.586,10K,25%,250_16
0.741,10K,25%,250_17
0.476,10K,25%,250_18
0.451,10K,25%,250_19
0.425,10K,25%,250_20
0.603,10K,25%,250_21
0.427,10K,25%,250_22
0.62,10K,25%,250_23
0.721,10K,25%,250_24
0.889,10K,25%,250_25
0.469,10K,25%,250_26
0.427,10K,25%,250_27
0.714,10K,25%,250_28
0.4,10K,25%,250_29
0.573,10K,25%,250_30
0.912,10K,25%,250_31
0.425,10K,25%,250_32
0.903,10K,25%,250_33
0.439,10K,25%,250_34
0.642,10K,25%,250_35
0.38,10K,25%,250_36
0.878,10K,25%,250_37
0.91,10K,25%,250_38
0.42,10K,25%,250_39
0.628,10K,25%,250_40
0.577,10K,25%,250_41
0.556,10K,25%,250_42
0.497,10K,25%,250_43
0.453,10K,25%,250_44
0.537,10K,25%,250_45
0.526,10K,25%,250_46
0.543,10K,25%,250_47
0.495,10K,25%,250_48
1.114,10K,25%,250_49
0.729,10K,25%,250_50
1.074,10K,25%,250_51
0.792,10K,25%,250_52
0.809,10K,25%,250_53
0.457,10K,25%,250_54
0.741,10K,25%,250_55
0.564,10K,25%,250_56
0.62,10K,25%,250_57
0.53,10K,25%,250_58
0.737,10K,25%,250_59
0.496,10K,25%,250_60
0.451,10K,25%,250_61
0.836,10K,25%,250_62
0.549,10K,25%,250_63
0.559,10K,25%,250_64
0.596,10K,25%,250_65
0.694,10K,25%,250_66
0.529,10K,25%,250_67
0.584,10K,25%,250_68
0.693,10K,25%,250_69
0.687,10K,25%,250_70
0.795,10K,25%,250_71
0.463,10K,25%,250_72
0.638,10K,25%,250_73
0.881,10K,25%,250_74
0.636,10K,25%,250_75
0.536,10K,25%,250_76
0.439,10K,25%,250_77
0.712,10K,25%,250_78
0.465,10K,25%,250_79
0.516,10K,25%,250_80
0.56,10K,25%,250_81
0.473,10K,25%,250_82
0.438,10K,25%,250_83
0.992,10K,25%,250_84
0.518,10K,25%,250_85
0.443,10K,25%,250_86
0.407,10K,25%,250_87
0.522,10K,25%,250_88
0.588,10K,25%,250_89
0.905,10K,25%,250_90
0.486,10K,25%,250_91
0.442,10K,25%,250_92
0.415,10K,25%,250_93
0.565,10K,25%,250_94
0.567,10K,25%,250_95
0.503,10K,25%,250_96
0.416,10K,25%,250_97
0.666,10K,25%,250_98
0.752,10K,25%,250_99
1.69,10K,37.5%,375_0
1.191,10K,37.5%,375_1
1.132,10K,37.5%,375_2
1.242,10K,37.5%,375_3
1.016,10K,37.5%,375_4
1.289,10K,37.5%,375_5
1.694,10K,37.5%,375_6
1.069,10K,37.5%,375_7
1.104,10K,37.5%,375_8
1.099,10K,37.5%,375_9
1.464,10K,37.5%,375_10
0.885,10K,37.5%,375_11
0.867,10K,37.5%,375_12
1.437,10K,37.5%,375_13
1.052,10K,37.5%,375_14
0.951,10K,37.5%,375_15
1.037,10K,37.5%,375_16
1.546,10K,37.5%,375_17
4.642,10K,37.5%,375_18
1.207,10K,37.5%,375_19
0.697,10K,37.5%,375_20
1.208,10K,37.5%,375_21
1.148,10K,37.5%,375_22
1.118,10K,37.5%,375_23
0.952,10K,37.5%,375_24
1.229,10K,37.5%,375_25
1.581,10K,37.5%,375_26
1.009,10K,37.5%,375_27
1.061,10K,37.5%,375_28
0.987,10K,37.5%,375_29
1.477,10K,37.5%,375_30
1.03,10K,37.5%,375_31
1.042,10K,37.5%,375_32
0.891,10K,37.5%,375_33
1.244,10K,37.5%,375_34
3.522,10K,37.5%,375_35
0.839,10K,37.5%,375_36
1.33,10K,37.5%,375_37
4.435,10K,37.5%,375_38
1.615,10K,37.5%,375_39
1.537,10K,37.5%,375_40
1.009,10K,37.5%,375_41
1.641,10K,37.5%,375_42
1.102,10K,37.5%,375_43
1.323,10K,37.5%,375_44
1.38,10K,37.5%,375_45
0.924,10K,37.5%,375_46
1.246,10K,37.5%,375_47
1.29,10K,37.5%,375_48
0.858,10K,37.5%,375_49
1.278,10K,37.5%,375_50
0.758,10K,37.5%,375_51
1.255,10K,37.5%,375_52
1.661,10K,37.5%,375_53
1.104,10K,37.5%,375_54
1.485,10K,37.5%,375_55
1.098,10K,37.5%,375_56
1.052,10K,37.5%,375_57
2.065,10K,37.5%,375_58
0.899,10K,37.5%,375_59
1.251,10K,37.5%,375_60
1.124,10K,37.5%,375_61
1.007,10K,37.5%,375_62
1.613,10K,37.5%,375_63
1.441,10K,37.5%,375_64
0.801,10K,37.5%,375_65
0.698,10K,37.5%,375_66
1.022,10K,37.5%,375_67
1.862,10K,37.5%,375_68
1.226,10K,37.5%,375_69
1.592,10K,37.5%,375_70
0.87,10K,37.5%,375_71
1.327,10K,37.5%,375_72
1.21,10K,37.5%,375_73
0.759,10K,37.5%,375_74
2.434,10K,37.5%,375_75
1.17,10K,37.5%,375_76
1.984,10K,37.5%,375_77
1.309,10K,37.5%,375_78
1.631,10K,37.5%,375_79
1.04,10K,37.5%,375_80
1.333,10K,37.5%,375_81
1.035,10K,37.5%,375_82
1.231,10K,37.5%,375_83
0.801,10K,37.5%,375_84
1.056,10K,37.5%,375_85
0.854,10K,37.5%,375_86
1.203,10K,37.5%,375_87
0.876,10K,37.5%,375_88
1.361,10K,37.5%,375_89
1.101,10K,37.5%,375_90
1.54,10K,37.5%,375_91
1.068,10K,37.5%,375_92
1.346,10K,37.5%,375_93
1.146,10K,37.5%,375_94
1.397,10K,37.5%,375_95
1.236,10K,37.5%,375_96
1.388,10K,37.5%,375_97
0.963,10K,37.5%,375_98
1.285,10K,37.5%,375_99
1.399,10K,50%,500_0
1.634,10K,50%,500_1
2.922,10K,50%,500_2
1.925,10K,50%,500_3
2.226,10K,50%,500_4
2.906,10K,50%,500_5
1.721,10K,50%,500_6
2.176,10K,50%,500_7
2.019,10K,50%,500_8
2.316,10K,50%,500_9
1.923,10K,50%,500_10
2.052,10K,50%,500_11
2.453,10K,50%,500_12
1.281,10K,50%,500_13
1.624,10K,50%,500_14
1.94,10K,50%,500_15
1.935,10K,50%,500_16
2.346,10K,50%,500_17
1.456,10K,50%,500_18
4.954,10K,50%,500_19
2.073,10K,50%,500_20
1.122,10K,50%,500_21
1.401,10K,50%,500_22
1.493,10K,50%,500_23
2.181,10K,50%,500_24
2.461,10K,50%,500_25
1.965,10K,50%,500_26
1.693,10K,50%,500_27
1.655,10K,50%,500_28
1.778,10K,50%,500_29
3.567,10K,50%,500_30
1.702,10K,50%,500_31
1.637,10K,50%,500_32
1.597,10K,50%,500_33
2.534,10K,50%,500_34
1.987,10K,50%,500_35
1.54,10K,50%,500_36
2.217,10K,50%,500_37
1.395,10K,50%,500_38
1.809,10K,50%,500_39
1.55,10K,50%,500_40
3.112,10K,50%,500_41
1.989,10K,50%,500_42
1.419,10K,50%,500_43
2.061,10K,50%,500_44
2.141,10K,50%,500_45
1.801,10K,50%,500_46
1.643,10K,50%,500_47
1.596,10K,50%,500_48
2.167,10K,50%,500_49
1.856,10K,50%,500_50
2.031,10K,50%,500_51
3.881,10K,50%,500_52
2.08,10K,50%,500_53
1.206,10K,50%,500_54
1.838,10K,50%,500_55
2.013,10K,50%,500_56
2.143,10K,50%,500_57
1.493,10K,50%,500_58
2.033,10K,50%,500_59
1.911,10K,50%,500_60
1.82,10K,50%,500_61
1.842,10K,50%,500_62
2.004,10K,50%,500_63
1.766,10K,50%,500_64
2.103,10K,50%,500_65
2.986,10K,50%,500_66
2.147,10K,50%,500_67
1.626,10K,50%,500_68
1.691,10K,50%,500_69
1.718,10K,50%,500_70
1.847,10K,50%,500_71
1.712,10K,50%,500_72
2.137,10K,50%,500_73
1.492,10K,50%,500_74
2.032,10K,50%,500_75
1.76,10K,50%,500_76
1.469,10K,50%,500_77
1.88,10K,50%,500_78
2.073,10K,50%,500_79
3.029,10K,50%,500_80
1.596,10K,50%,500_81
2.294,10K,50%,500_82
3.016,10K,50%,500_83
1.248,10K,50%,500_84
2.492,10K,50%,500_85
1.514,10K,50%,500_86
2.233,10K,50%,500_87
1.23,10K,50%,500_88
2.006,10K,50%,500_89
2.549,10K,50%,500_90
1.145,10K,50%,500_91
2.889,10K,50%,500_92
1.529,10K,50%,500_93
2.099,10K,50%,500_94
1.328,10K,50%,500_95
2.291,10K,50%,500_96
2.075,10K,50%,500_97
1.775,10K,50%,500_98
2.132,10K,50%,500_99
2.267,10K,62.5%,625_0
2.129,10K,62.5%,625_1
3.422,10K,62.5%,625_2
2.502,10K,62.5%,625_3
2.234,10K,62.5%,625_4
2.745,10K,62.5%,625_5
2.414,10K,62.5%,625_6
2.629,10K,62.5%,625_7
2.741,10K,62.5%,625_8
5.366,10K,62.5%,625_9
2.801,10K,62.5%,625_10
2.006,10K,62.5%,625_11
2.617,10K,62.5%,625_12
3.468,10K,62.5%,625_13
1.968,10K,62.5%,625_14
1.699,10K,62.5%,625_15
2.14,10K,62.5%,625_16
2.957,10K,62.5%,625_17
2.447,10K,62.5%,625_18
2.453,10K,62.5%,625_19
2.928,10K,62.5%,625_20
2.45,10K,62.5%,625_21
2.656,10K,62.5%,625_22
2.678,10K,62.5%,625_23
2.282,10K,62.5%,625_24
2.67,10K,62.5%,625_25
3.301,10K,62.5%,625_26
2.974,10K,62.5%,625_27
2.193,10K,62.5%,625_28
3.913,10K,62.5%,625_29
1.661,10K,62.5%,625_30
3.815,10K,62.5%,625_31
2.289,10K,62.5%,625_32
2.55,10K,62.5%,625_33
2.702,10K,62.5%,625_34
2.369,10K,62.5%,625_35
2.802,10K,62.5%,625_36
1.942,10K,62.5%,625_37
2.728,10K,62.5%,625_38
2.853,10K,62.5%,625_39
2.668,10K,62.5%,625_40
3.088,10K,62.5%,625_41
2.814,10K,62.5%,625_42
2.499,10K,62.5%,625_43
2.788,10K,62.5%,625_44
2.417,10K,62.5%,625_45
2.328,10K,62.5%,625_46
2.399,10K,62.5%,625_47
2.827,10K,62.5%,625_48
2.639,10K,62.5%,625_49
3.689,10K,62.5%,625_50
4.483,10K,62.5%,625_51
1.887,10K,62.5%,625_52
1.978,10K,62.5%,625_53
3.28,10K,62.5%,625_54
2.348,10K,62.5%,625_55
2.084,10K,62.5%,625_56
2.432,10K,62.5%,625_57
2.208,10K,62.5%,625_58
2.909,10K,62.5%,625_59
1.644,10K,62.5%,625_60
2.879,10K,62.5%,625_61
2.751,10K,62.5%,625_62
3.295,10K,62.5%,625_63
2.323,10K,62.5%,625_64
2.599,10K,62.5%,625_65
2.246,10K,62.5%,625_66
2.601,10K,62.5%,625_67
2.726,10K,62.5%,625_68
3.859,10K,62.5%,625_69
2.311,10K,62.5%,625_70
2.685,10K,62.5%,625_71
2.497,10K,62.5%,625_72
2.414,10K,62.5%,625_73
2.253,10K,62.5%,625_74
2.786,10K,62.5%,625_75
2.772,10K,62.5%,625_76
2.141,10K,62.5%,625_77
2.717,10K,62.5%,625_78
2.838,10K,62.5%,625_79
2.585,10K,62.5%,625_80
2.213,10K,62.5%,625_81
2.437,10K,62.5%,625_82
2.107,10K,62.5%,625_83
2.364,10K,62.5%,625_84
2.661,10K,62.5%,625_85
3.714,10K,62.5%,625_86
2.554,10K,62.5%,625_87
2.827,10K,62.5%,625_88
2.109,10K,62.5%,625_89
2.7,10K,62.5%,625_90
2.043,10K,62.5%,625_91
2.596,10K,62.5%,625_92
2.164,10K,62.5%,625_93
2.433,10K,62.5%,625_94
2.83,10K,62.5%,625_95
3.257,10K,62.5%,625_96
3.372,10K,62.5%,625_97
2.254,10K,62.5%,625_98
1.913,10K,62.5%,625_99
2.192,10K,75%,750_0
3.597,10K,75%,750_1
1.968,10K,75%,750_2
3.339,10K,75%,750_3
3.621,10K,75%,750_4
3.13,10K,75%,750_5
2.728,10K,75%,750_6
3.502,10K,75%,750_7
2.969,10K,75%,750_8
2.967,10K,75%,750_9
2.984,10K,75%,750_10
3.096,10K,75%,750_11
3.73,10K,75%,750_12
2.441,10K,75%,750_13
2.823,10K,75%,750_14
5.069,10K,75%,750_15
3.157,10K,75%,750_16
6.076,10K,75%,750_17
2.685,10K,75%,750_18
2.761,10K,75%,750_19
2.841,10K,75%,750_20
3.069,10K,75%,750_21
2.691,10K,75%,750_22
2.907,10K,75%,750_23
3.838,10K,75%,750_24
2.489,10K,75%,750_25
2.866,10K,75%,750_26
3.047,10K,75%,750_27
3.797,10K,75%,750_28
3.578,10K,75%,750_29
3.57,10K,75%,750_30
2.915,10K,75%,750_31
3.749,10K,75%,750_32
2.594,10K,75%,750_33
2.394,10K,75%,750_34
3.079,10K,75%,750_35
2.811,10K,75%,750_36
6.347,10K,75%,750_37
3.233,10K,75%,750_38
3.398,10K,75%,750_39
3.109,10K,75%,750_40
2.992,10K,75%,750_41
2.728,10K,75%,750_42
3.881,10K,75%,750_43
2.868,10K,75%,750_44
3.959,10K,75%,750_45
3.957,10K,75%,750_46
2.539,10K,75%,750_47
4.794,10K,75%,750_48
3.238,10K,75%,750_49
3.052,10K,75%,750_50
1.988,10K,75%,750_51
3.314,10K,75%,750_52
2.17,10K,75%,750_53
2.766,10K,75%,750_54
2.645,10K,75%,750_55
2.741,10K,75%,750_56
3.968,10K,75%,750_57
2.992,10K,75%,750_58
4.42,10K,75%,750_59
2.448,10K,75%,750_60
3.333,10K,75%,750_61
3.286,10K,75%,750_62
3.081,10K,75%,750_63
3.699,10K,75%,750_64
2.597,10K,75%,750_65
3.29,10K,75%,750_66
2.763,10K,75%,750_67
3.834,10K,75%,750_68
3.518,10K,75%,750_69
2.716,10K,75%,750_70
3.435,10K,75%,750_71
2.885,10K,75%,750_72
2.828,10K,75%,750_73
3.382,10K,75%,750_74
6.884,10K,75%,750_75
3.807,10K,75%,750_76
3.8,10K,75%,750_77
2.238,10K,75%,750_78
3.173,10K,75%,750_79
3.023,10K,75%,750_80
7.857,10K,75%,750_81
3.177,10K,75%,750_82
3.101,10K,75%,750_83
2.556,10K,75%,750_84
3.089,10K,75%,750_85
4.505,10K,75%,750_86
3.328,10K,75%,750_87
2.872,10K,75%,750_88
4.456,10K,75%,750_89
3.233,10K,75%,750_90
2.772,10K,75%,750_91
3.674,10K,75%,750_92
4.722,10K,75%,750_93
2.28,10K,75%,750_94
6.3,10K,75%,750_95
3.484,10K,75%,750_96
2.769,10K,75%,750_97
2.773,10K,75%,750_98
1.872,10K,75%,750_99
3.786,10K,87.5%,875_0
4.743,10K,87.5%,875_1
4.024,10K,87.5%,875_2
3.37,10K,87.5%,875_3
2.642,10K,87.5%,875_4
3.857,10K,87.5%,875_5
3.129,10K,87.5%,875_6
3.694,10K,87.5%,875_7
3.906,10K,87.5%,875_8
6.552,10K,87.5%,875_9
4.13,10K,87.5%,875_10
3.182,10K,87.5%,875_11
5.703,10K,87.5%,875_12
2.917,10K,87.5%,875_13
4.064,10K,87.5%,875_14
3.185,10K,87.5%,875_15
2.852,10K,87.5%,875_16
4.111,10K,87.5%,875_17
3.988,10K,87.5%,875_18
3.644,10K,87.5%,875_19
3.019,10K,87.5%,875_20
4.405,10K,87.5%,875_21
3.169,10K,87.5%,875_22
4.492,10K,87.5%,875_23
3.393,10K,87.5%,875_24
4.356,10K,87.5%,875_25
3.631,10K,87.5%,875_26
2.716,10K,87.5%,875_27
3.683,10K,87.5%,875_28
3.317,10K,87.5%,875_29
4.36,10K,87.5%,875_30
3.24,10K,87.5%,875_31
2.89,10K,87.5%,875_32
3.639,10K,87.5%,875_33
3.832,10K,87.5%,875_34
3.28,10K,87.5%,875_35
6.193,10K,87.5%,875_36
3.101,10K,87.5%,875_37
4.857,10K,87.5%,875_38
4.778,10K,87.5%,875_39
3.61,10K,87.5%,875_40
3.62,10K,87.5%,875_41
4.531,10K,87.5%,875_42
3.382,10K,87.5%,875_43
3.971,10K,87.5%,875_44
3.122,10K,87.5%,875_45
3.602,10K,87.5%,875_46
6.579,10K,87.5%,875_47
3.076,10K,87.5%,875_48
2.832,10K,87.5%,875_49
3.853,10K,87.5%,875_50
2.727,10K,87.5%,875_51
4.414,10K,87.5%,875_52
4.267,10K,87.5%,875_53
3.383,10K,87.5%,875_54
5.146,10K,87.5%,875_55
3.003,10K,87.5%,875_56
3.257,10K,87.5%,875_57
3.711,10K,87.5%,875_58
3.263,10K,87.5%,875_59
3.676,10K,87.5%,875_60
3.491,10K,87.5%,875_61
3.597,10K,87.5%,875_62
3.93,10K,87.5%,875_63
4.017,10K,87.5%,875_64
3.782,10K,87.5%,875_65
3.569,10K,87.5%,875_66
5.828,10K,87.5%,875_67
3.461,10K,87.5%,875_68
3.663,10K,87.5%,875_69
5.634,10K,87.5%,875_70
2.394,10K,87.5%,875_71
2.552,10K,87.5%,875_72
4.062,10K,87.5%,875_73
4.553,10K,87.5%,875_74
3.834,10K,87.5%,875_75
3.187,10K,87.5%,875_76
2.511,10K,87.5%,875_77
3.716,10K,87.5%,875_78
4.155,10K,87.5%,875_79
5.539,10K,87.5%,875_80
4.052,10K,87.5%,875_81
3.052,10K,87.5%,875_82
3.075,10K,87.5%,875_83
3.556,10K,87.5%,875_84
3.297,10K,87.5%,875_85
4.034,10K,87.5%,875_86
3.381,10K,87.5%,875_87
4.991,10K,87.5%,875_88
3.152,10K,87.5%,875_89
2.831,10K,87.5%,875_90
3.471,10K,87.5%,875_91
4.659,10K,87.5%,875_92
2.103,10K,87.5%,875_93
3.493,10K,87.5%,875_94
3.259,10K,87.5%,875_95
4.506,10K,87.5%,875_96
2.805,10K,87.5%,875_97
3.473,10K,87.5%,875_98
5.664,10K,87.5%,875_99
3.648,10K,100%,1000_0
3.302,10K,100%,1000_1
4.039,10K,100%,1000_2
4.026,10K,100%,1000_3
3.961,10K,100%,1000_4
4.093,10K,100%,1000_5
4.364,10K,100%,1000_6
4.206,10K,100%,1000_7
3.758,10K,100%,1000_8
3.465,10K,100%,1000_9
3.107,10K,100%,1000_10
6.642,10K,100%,1000_11
4.257,10K,100%,1000_12
2.95,10K,100%,1000_13
4.062,10K,100%,1000_14
3.372,10K,100%,1000_15
4.986,10K,100%,1000_16
4.248,10K,100%,1000_17
4.884,10K,100%,1000_18
4.244,10K,100%,1000_19
6.149,10K,100%,1000_20
4.836,10K,100%,1000_21
3.731,10K,100%,1000_22
6.481,10K,100%,1000_23
4.357,10K,100%,1000_24
4.391,10K,100%,1000_25
4.553,10K,100%,1000_26
4.367,10K,100%,1000_27
3.851,10K,100%,1000_28
4.448,10K,100%,1000_29
4.529,10K,100%,1000_30
3.387,10K,100%,1000_31
3.613,10K,100%,1000_32
4.079,10K,100%,1000_33
4.137,10K,100%,1000_34
4.192,10K,100%,1000_35
8.767,10K,100%,1000_36
3.79,10K,100%,1000_37
3.13,10K,100%,1000_38
7.163,10K,100%,1000_39
3.474,10K,100%,1000_40
8.286,10K,100%,1000_41
5.646,10K,100%,1000_42
3.687,10K,100%,1000_43
3.344,10K,100%,1000_44
3.7,10K,100%,1000_45
4.986,10K,100%,1000_46
4.256,10K,100%,1000_47
